selected_zone,ALEPPO,ASPINWALL,AVALON,BALDWIN,BELL ACRES,BELLEVUE,BEN AVON,BEN AVON HEIGHTS,BETHEL PARK,BLAWNOX,BRACKENRIDGE,BRADDOCK,BRADDOCK HILLS,BRADFORD WOODS,BRENTWOOD,BRIDGEVILLE,CARNEGIE,CASTLE SHANNON,CHALFANT,CHESWICK,CHURCHILL,CLAIRTON,COLLIER,CORAOPOLIS,CRAFTON,CRESCENT,DORMONT,DRAVOSBURG,DUQUESNE,EAST DEER,EAST MCKEESPORT,EAST PITTSBURGH,EDGEWOOD,EDGEWORTH,ELIZABETH,EMSWORTH,ETNA,FAWN,FINDLAY,FOREST HILLS,FORWARD,FOX CHAPEL,FRANKLIN PARK,FRAZER,GLASSPORT,GLEN OSBORNE,GLENFIELD,GREEN TREE,HAMPTON,HARMAR,HARRISON,HAYSVILLE,HEIDELBERG,HOMESTEAD,INDIANA,INGRAM,JEFFERSON HILLS,KENNEDY,KILBUCK,LEET,LEETSDALE,LIBERTY,LINCOLN,MARSHALL,MCCANDLESS,MCDONALD,MCKEES ROCKS,MCKEESPORT,MILLVALE,MONROEVILLE,MOON,MOUNT LEBANON,MOUNT OLIVER,MUNHALL,NEVILLE,NORTH BRADDOCK,NORTH FAYETTE,NORTH VERSAILLES,O'HARA,OAKDALE,OAKMONT,OHIO,PENN HILLS,PENNSBURY VILLAGE,PINE,PITCAIRN,PITTSBURGH,PLEASANT HILLS,PLUM,PORT VUE,RANKIN,RESERVE,RICHLAND,ROBINSON,ROSS,ROSSLYN FARMS,SCOTT,SEWICKLEY,SEWICKLEY HEIGHTS,SEWICKLEY HILLS,SHALER,SHARPSBURG,SOUTH FAYETTE,SOUTH PARK,SOUTH VERSAILLES,SPRINGDALE,STOWE,SWISSVALE,TARENTUM,THORNBURG,TRAFFORD,TURTLE CREEK,UPPER ST. CLAIR,VERONA,VERSAILLES,WALL,WEST DEER,WEST ELIZABETH,WEST HOMESTEAD,WEST MIFFLIN,WEST VIEW,WHITAKER,WHITE OAK,WHITEHALL,WILKINS,WILKINSBURG,WILMERDING
ALEPPO,0.369469407,0.116114884,0.39655559,0.007183585,0.584775095,0.163813667,0.21154325,0.198727452,0.003644725,0.52363314,0.44340061,0.316276864,0.581971746,0.832795665,0.739535086,0.485762007,0.820354561,0.701185018,0.556731128,0.586461731,0.222727153,0.630881961,0.034774673,0.953411966,0.599535136,0.351900077,0.887311408,0.433668996,0.890785985,0.143905048,0.499316574,0.427742212,0.346652677,0.978693912,0.751613272,0.177329474,0.033989329,0.359759625,0.037535319,0.145847215,0.798382328,0.16663234,0.086293629,0.008707818,0.0376913,0.232320841,0.668678853,0.966366175,0.230537555,0.809380292,0.847997774,0.778954807,0.293835775,0.699904376,0.550589851,0.91404039,0.785691972,0.173756854,0.628931192,0.564281817,0.926118859,0.222513078,0.621553732,0.125168302,0.550029098,0.233578892,0.598309971,0.032352686,0.709349652,0.81985106,0.203612743,0.742924904,0.689475889,0.501240484,0.860124879,0.905824861,0.069349112,0.79350363,0.904621992,0.699225611,0.012171501,0.047110532,0.604829318,0.810942085,0.357418445,0.23870098,0.754443415,0.092070127,0.336418336,0.286396333,0.824981828,0.182303734,0.130859751,0.519130073,0.447547803,0.568120791,0.618482436,0.8349141,0.820758674,0.17415546,0.493703892,0.005546262,0.044966442,0.620385247,0.500331377,0.804146097,0.142015945,0.476112191,0.685628285,0.1701851,0.190644407,0.886535308,0.612951884,0.478099085,0.548783677,0.464641571,0.13996048,0.026126509,0.734428724,0.299767279,0.873003157,0.23804189,0.044010432,0.185444978,0.764143331,0.153463058,0.710416621
ASPINWALL,0.981174945,0.6151825,0.946989878,0.176661858,0.154739532,0.081320151,0.703254916,0.921916983,0.45286225,0.798631191,0.532223624,0.581790687,0.722521707,0.861951445,0.019820612,0.304885548,0.102169453,0.221006242,0.571130698,0.962639266,0.807455347,0.886251296,0.297633499,0.828135849,0.236903862,0.28853647,0.620819657,0.495328176,0.588085001,0.450535299,0.142751046,0.998042987,0.121170713,0.569565351,0.833037866,0.348366112,0.061892327,0.063852718,0.04097743,0.712149605,0.527524862,0.848283716,0.019141639,0.193869271,0.899638977,0.637378445,0.115302692,0.475600291,0.316606167,0.087277966,0.806551018,0.525620544,0.09607205,0.651121765,0.56405767,0.483304266,0.75794961,0.80965906,0.237426933,0.745715192,0.11556726,0.809518669,0.52342809,0.028144946,0.289973205,0.78465424,0.017169883,0.543366048,0.81987689,0.234468601,0.190325227,0.221227197,0.544291304,0.704566752,0.065011335,0.224305756,0.768230786,0.540981613,0.744420798,0.414680758,0.439170332,0.111015962,0.079036756,0.822548487,0.304784552,0.311196161,0.046593787,0.480960897,0.025202024,0.105104659,0.119150105,0.202096319,0.796500064,0.520226582,0.055436059,0.565651284,0.360475847,0.919507133,0.401879932,0.747991723,0.013084829,0.128140636,0.220585398,0.392420751,0.15358239,0.425626324,0.741212472,0.874597741,0.444757259,0.788296777,0.703678835,0.878233808,0.633878709,0.61580982,0.367825892,0.098229061,0.71039302,0.681070789,0.082371984,0.633324919,0.285869664,0.796449536,0.624127929,0.133518232,0.603526583,0.066922052,0.451926196
AVALON,0.235293243,0.693303319,0.346689917,0.082094939,0.330832389,0.454500929,0.606179216,0.619473916,0.164750328,0.778333859,0.615927844,0.528033814,0.379285307,0.836572711,0.360177641,0.942374228,0.481749852,0.345097815,0.661978834,0.175163915,0.162295055,0.020780917,0.48197184,0.09125371,0.713281469,0.47575802,0.79062361,0.321604133,0.851333082,0.186989562,0.472740537,0.57232128,0.460721178,0.997163962,0.530290852,0.960024366,0.049847863,0.995738848,0.180681986,0.582293754,0.41050971,0.791908759,0.844859837,0.331420345,0.686824272,0.151187167,0.021526603,0.346522397,0.636344543,0.798669817,0.407330906,0.170857428,0.434858223,0.998234388,0.969107907,0.863062629,0.789993032,0.17215442,0.692038633,0.025000917,0.390511672,0.321838257,0.101729333,0.180556926,0.140672732,0.560040459,0.087915613,0.075163198,0.318351605,0.634262567,0.291908143,0.225579703,0.407743485,0.172544668,0.960907504,0.41438017,0.472545995,0.388795091,0.662178952,0.134498899,0.435375596,0.097696419,0.85926313,0.995315864,0.002549039,0.806336961,0.043380921,0.952750347,0.514008809,0.242925285,0.052315983,0.697605873,0.981910321,0.337261881,0.199699257,0.479294143,0.657512302,0.996055426,0.669442088,0.776233154,0.298394304,0.387467542,0.505665205,0.785394742,0.46410692,0.974935365,0.558190557,0.394769615,0.455165596,0.934665975,0.411005525,0.302888206,0.067047074,0.761183397,0.710194528,0.918261418,0.526817403,0.660037949,0.079816917,0.271347803,0.045439083,0.097890691,0.194176915,0.966318844,0.327064083,0.451554681,0.76901933
BALDWIN,0.901364184,0.236802822,0.975901578,0.147820161,0.916169722,0.200690283,0.755296829,0.380314747,0.818429232,0.740090813,0.569193587,0.895451956,0.480682462,0.410711475,0.014411703,0.570782333,0.974286594,0.804694206,0.213914978,0.860600867,0.226360798,0.080594638,0.620355928,0.032344067,0.068671218,0.820844448,0.882025144,0.288429052,0.33716026,0.393478394,0.069580068,0.152992543,0.806975274,0.935384038,0.147112367,0.056305409,0.034120968,0.493264128,0.824008166,0.56574576,0.609867053,0.579536316,0.00228072,0.624076003,0.711947239,0.667810919,0.012311122,0.157275921,0.022483377,0.748888319,0.715764945,0.982099055,0.250235507,0.38266676,0.205410264,0.536521678,0.943489527,0.088382811,0.829178241,0.059943572,0.714761775,0.031691921,0.77251978,0.062249613,0.308026942,0.46895683,0.324487788,0.970434294,0.620398394,0.73102737,0.896626826,0.468919571,0.331480728,0.051913723,0.095916969,0.840784165,0.684443592,0.260645821,0.622648236,0.895355839,0.128625353,0.062722115,0.7896372,0.954514108,0.997904904,0.607949797,0.138747088,0.85362619,0.350692143,0.217459294,0.155382856,0.056497314,0.372360175,0.511709662,0.661639653,0.279314148,0.575675123,0.46947558,0.137879148,0.044902752,0.623907392,0.366208039,0.266957974,0.366826128,0.944073785,0.783331532,0.950158197,0.755505435,0.665775093,0.574887502,0.999652104,0.652703829,0.660166501,0.807603164,0.800904813,0.932806066,0.662067409,0.321138989,0.719349794,0.849154655,0.380974578,0.526306996,0.207688967,0.742860011,0.910162558,0.166434308,0.979204458
BELL ACRES,0.014475268,0.280982388,0.703469687,0.69448931,0.295600724,0.504621304,0.627709953,0.04162196,0.610249533,0.399227392,0.917767663,0.207488385,0.193667707,0.565274399,0.276996527,0.294372987,0.287691573,0.573901963,0.422574787,0.457717718,0.053903276,0.617034063,0.87208435,0.049419887,0.813007368,0.998598025,0.418155008,0.424190301,0.171722156,0.116502117,0.697459914,0.484867121,0.980765734,0.950689104,0.609764645,0.666773939,0.376891916,0.769279746,0.577140582,0.482526701,0.026512089,0.534544127,0.715947989,0.423504817,0.210497736,0.925047863,0.257434523,0.186227468,0.114396414,0.798397092,0.985968913,0.897243343,0.668887648,0.234222173,0.883208851,0.330893442,0.765912986,0.411682536,0.33716884,0.356288011,0.897765176,0.351112784,0.941164712,0.408978779,0.943502912,0.567948187,0.244717815,0.680502057,0.072682792,0.002230239,0.821382194,0.483389792,0.968803391,0.340484659,0.105350565,0.447403969,0.429224504,0.89952985,0.049115267,0.339453838,0.998622042,0.820566063,0.681654681,0.70008845,0.304602087,0.131791475,0.305281881,0.508311503,0.858776053,0.906636513,0.737915215,0.399758008,0.345403847,0.899882863,0.464818898,0.263023015,0.034739231,0.731927708,0.893239243,0.38052909,0.901977681,0.108166217,0.264546139,0.985233987,0.301894162,0.621843621,0.135233497,0.396227372,0.7861464,0.041430017,0.325438342,0.287140592,0.580395473,0.294702234,0.019186647,0.610086974,0.781680229,0.875884017,0.228190453,0.012247764,0.553851384,0.688300726,0.437757696,0.115501178,0.149438901,0.299302414,0.4379705
BELLEVUE,0.812939173,0.64658826,0.552814671,0.421376972,0.857124765,0.821475138,0.949508706,0.321926082,0.622841522,0.698521182,0.476289953,0.60285049,0.966481002,0.607230091,0.852969328,0.991747102,0.850135875,0.626060016,0.790535425,0.727539039,0.033088942,0.847660077,0.661568341,0.513910361,0.573633004,0.600497839,0.511411603,0.469072081,0.71178321,0.593200094,0.108159107,0.329909458,0.860396896,0.322015985,0.49410363,0.236559513,0.650029776,0.459806566,0.38424489,0.994767516,0.230983383,0.566582196,0.213407291,0.1500352,0.940290655,0.470847116,0.217147707,0.463139388,0.207899413,0.626710582,0.835230004,0.336254858,0.925169561,0.819656747,0.868100251,0.446605751,0.649763493,0.964357185,0.688609964,0.722682139,0.906816448,0.905563617,0.184067024,0.91898787,0.486086417,0.740164075,0.905090984,0.345933999,0.406619563,0.430005421,0.350325765,0.64018188,0.99017702,0.133491993,0.847661054,0.28449032,0.968434173,0.189816268,0.79379119,0.00880344,0.465934226,0.125921484,0.062965223,0.528498636,0.938125367,0.13491688,0.145050723,0.109332958,0.896677663,0.719347131,0.08571421,0.602302749,0.244964612,0.459141585,0.497677035,0.654781375,0.344734789,0.354510594,0.161364624,0.855270509,0.010780238,0.843398733,0.980269232,0.506221678,0.97607527,0.23750093,0.135537974,0.834668293,0.22212413,0.118663242,0.123345958,0.394611164,0.308821013,0.530359411,0.934436253,0.81338571,0.323502415,0.396701007,0.099697077,0.299618422,0.548025634,0.622586932,0.778565208,0.417837029,0.839600008,0.349613709,0.637216317
BEN AVON,0.387375275,0.774140505,0.208240112,0.863184564,0.313998772,0.004387789,0.614176735,0.202702005,0.511892143,0.263545941,0.219867107,0.84047039,0.926275833,0.534480733,0.720054753,0.841715097,0.139807504,0.94681127,0.490266431,0.156009904,0.42617563,0.609187151,0.560133071,0.347759469,0.003321217,0.807718419,0.17687068,0.249642124,0.831289304,0.539089037,0.143250842,0.895652217,0.66156605,0.996178305,0.798636418,0.7408036,0.111767913,0.411534012,0.462131767,0.072917073,0.586304972,0.461701967,0.007775537,0.441412327,0.057930459,0.160527611,0.314189895,0.635558622,0.388058376,0.163062464,0.366011997,0.027419514,0.804013903,0.675816787,0.774093577,0.997925969,0.86334353,0.075324305,0.475290753,0.595394915,0.648301478,0.689811793,0.958623136,0.577176353,0.737425146,0.265647861,0.453733523,0.402707448,0.439729587,0.983169242,0.768631161,0.959896462,0.139460981,0.045550875,0.874045725,0.13987956,0.442381528,0.763282431,0.000780927,0.697349582,0.833182259,0.978205753,0.040291005,0.591716712,0.005694546,0.788747441,0.013595045,0.079905777,0.372273653,0.389006722,0.20772363,0.750759103,0.393350413,0.878502276,0.818830214,0.081361832,0.946293082,0.035363608,0.769671241,0.009331589,0.865492125,0.861055895,0.166851119,0.464284255,0.754506768,0.096357692,0.352905906,0.688650169,0.055217456,0.946674446,0.960734158,0.199276116,0.214778164,0.871837683,0.479029039,0.539493548,0.426310092,0.952693673,0.403360148,0.117062765,0.331606379,0.800440126,0.333852523,0.433292921,0.967485617,0.286086705,0.458643708
BEN AVON HEIGHTS,0.138152882,0.503540267,0.914424337,0.539053616,0.148607294,0.15562476,0.804311522,0.590960445,0.155611341,0.062585035,0.818237236,0.015578442,0.768899557,0.90201798,0.068626614,0.122006118,0.872050041,0.168293677,0.260771881,0.981494462,0.815268656,0.467852531,0.273876073,0.154931783,0.984942521,0.761845462,0.534033445,0.786357823,0.350217137,0.708037126,0.228996506,0.374781464,0.732328849,0.494808834,0.246021738,0.025275835,0.310751067,0.119837778,0.259348164,0.559931322,0.912141868,0.231917962,0.35289929,0.627847859,0.183133606,0.338385854,0.248060433,0.145653383,0.259869406,0.902519641,0.09696127,0.419070014,0.999529995,0.996335579,0.060443089,0.357485386,0.937165915,0.438817093,0.455416935,0.970861923,0.938967957,0.647148427,0.46888776,0.389678093,0.278731557,0.321023678,0.380847776,0.313654837,0.859088452,0.996635693,0.224428735,0.820092004,0.359708164,0.399158292,0.636081394,0.885619324,0.207797342,0.230935325,0.621641788,0.021731893,0.685429262,0.59153935,0.64835345,0.935604352,0.115588478,0.549112695,0.599452429,0.551831591,0.546523496,0.50827212,0.497489065,0.513102188,0.705346947,0.940639228,0.630351471,0.517100049,0.398527958,0.009085474,0.564374174,0.404895439,0.486059105,0.428996743,0.75195905,0.663573102,0.334747115,0.117558923,0.734547449,0.407817639,0.192082585,0.900736607,0.828187201,0.771972512,0.488016229,0.954136969,0.650657852,0.50400761,0.868912223,0.236637225,0.74258809,0.628912895,0.453669051,0.292731391,0.608431703,0.104556481,0.446741463,0.637195911,0.708781927
BETHEL PARK,0.187846876,0.875256244,0.403650742,0.553285511,0.034580837,0.275629794,0.206660565,0.596554092,0.971254775,0.233744527,0.312720481,0.60935913,0.927508817,0.714879195,0.96797233,0.15860072,0.956267558,0.000799154,0.099414232,0.734163039,0.9397923,0.951326,0.678490083,0.780378572,0.413133474,0.871513146,0.61089505,0.583764255,0.967234616,0.82365095,0.720976118,0.685104266,0.339261433,0.19155719,0.476828182,0.189828449,0.545937195,0.730514882,0.317804321,0.749558648,0.735946165,0.234474327,0.932212122,0.474809608,0.917305766,0.314798586,0.15323006,0.176837249,0.14983438,0.712493156,0.185776512,0.806487756,0.998068411,0.254381031,0.305902483,0.816801445,0.37275391,0.822168913,0.570823827,0.467075428,0.081121883,0.669747113,0.894043342,0.905839094,0.833794497,0.152332647,0.433438684,0.97155236,0.908510784,0.679391637,0.800843338,0.976843061,0.667179902,0.793007912,0.494867074,0.088803157,0.35343977,0.258511655,0.241093871,0.511397877,0.008131138,0.202344267,0.765931261,0.331618862,0.24655841,0.459147401,0.973442025,0.649333606,0.202536371,0.233518434,0.711018801,0.1868993,0.013591692,0.781110715,0.521607292,0.377788133,0.229454073,0.480150671,0.195006005,0.717285077,0.211288144,0.574274376,0.123880597,0.462120982,0.75952992,0.644639022,0.284764913,0.569804636,0.325026029,0.095503838,0.667490681,0.013476712,0.92585031,0.212968618,0.331987117,0.933025507,0.869343673,0.250678604,0.410548311,0.755162291,0.512258765,0.103699907,0.811823759,0.066320999,0.279334695,0.564120732,0.649355065
BLAWNOX,0.108108084,0.295862412,0.877948664,0.629373481,0.043854353,0.583155423,0.298803917,0.375273478,0.244726504,0.910675461,0.676386318,0.00252184,0.990971366,0.363950866,0.17473611,0.983675811,0.242923225,0.625188897,0.027059925,0.223470443,0.482986334,0.798131892,0.938557977,0.37771618,0.959919125,0.298063034,0.111526753,0.701665356,0.038233857,0.035509816,0.594251495,0.986671052,0.039206189,0.391329126,0.970499723,0.061084324,0.776654323,0.943326058,0.805392003,0.314829403,0.169453744,0.250616618,0.920455663,0.000219734,0.159232427,0.108951936,0.38381609,0.937328469,0.49668604,0.815645813,0.039802528,0.668543708,0.500386927,0.543001592,0.649884777,0.445326497,0.198107554,0.071693688,0.113109064,0.643231348,0.026589631,0.602524864,0.183885237,0.921869221,0.636233431,0.114257524,0.530197642,0.726569421,0.206966781,0.604017514,0.867138363,0.899587749,0.161183994,0.63570289,0.47507477,0.694496846,0.703248419,0.106793854,0.209382677,0.173822644,0.179484135,0.239876735,0.551921492,0.23736966,0.830253677,0.831522721,0.796035114,0.157431309,0.078166653,0.364740537,0.381655758,0.769016068,0.782092115,0.757870994,0.393617989,0.49819115,0.448592128,0.069380134,0.142859123,0.616919487,0.230164033,0.342955148,0.847834965,0.726115153,0.675796817,0.778060219,0.686700923,0.364638355,0.762275606,0.697950096,0.581600306,0.39838607,0.311973644,0.223093792,0.934187801,0.530497436,0.529553783,0.180041416,0.317806666,0.782380033,0.632686473,0.958249895,0.598023472,0.32853738,0.334054561,0.246813813,0.220042434
