,selected_zone,zone_value,value
0,ALEPPO,ALEPPO,0.369469407
1,ASPINWALL,ALEPPO,0.981174945
2,AVALON,ALEPPO,0.235293243
3,BALDWIN,ALEPPO,0.901364184
4,BELL ACRES,ALEPPO,0.014475268
5,BELLEVUE,ALEPPO,0.812939173
6,BEN AVON,ALEPPO,0.387375275
7,BEN AVON HEIGHTS,ALEPPO,0.138152882
8,BETHEL PARK,ALEPPO,0.187846876
9,BLAWNOX,ALEPPO,0.108108084
10,BRACKENRIDGE,ALEPPO,0.477515237
11,BRADDOCK,ALEPPO,0.724101436
12,BRADDOCK HILLS,ALEPPO,0.243344129
13,BRADFORD WOODS,ALEPPO,0.519683682
14,BRENTWOOD,ALEPPO,0.936111217
15,BRIDGEVILLE,ALEPPO,0.379818683
16,CARNEGIE,ALEPPO,0.958905017
17,CASTLE SHANNON,ALEPPO,0.564121382
18,CHALFANT,ALEPPO,0.582536725
19,CHESWICK,ALEPPO,0.574726721
20,CHURCHILL,ALEPPO,0.717216142
21,CLAIRTON,ALEPPO,0.493679126
22,COLLIER,ALEPPO,0.63943751
23,CORAOPOLIS,ALEPPO,0.297738954
24,CRAFTON,ALEPPO,0.616579717
25,CRESCENT,ALEPPO,0.957884706
26,DORMONT,ALEPPO,0.520179142
27,DRAVOSBURG,ALEPPO,0.885680177
28,DUQUESNE,ALEPPO,0.404666212
29,EAST DEER,ALEPPO,0.658173755
30,EAST MCKEESPORT,ALEPPO,0.900608395
31,EAST PITTSBURGH,ALEPPO,0.374914624
32,EDGEWOOD,ALEPPO,0.528882271
33,EDGEWORTH,ALEPPO,0.511886054
34,ELIZABETH,ALEPPO,0.263524672
35,EMSWORTH,ALEPPO,0.078122314
36,ETNA,ALEPPO,0.705353769
37,FAWN,ALEPPO,0.893936728
38,FINDLAY,ALEPPO,0.011188719
39,FOREST HILLS,ALEPPO,0.03182626
40,FORWARD,ALEPPO,0.794677987
41,FOX CHAPEL,ALEPPO,0.859276518
42,FRANKLIN PARK,ALEPPO,0.245103166
43,FRAZER,ALEPPO,0.919232392
44,GLASSPORT,ALEPPO,0.437394698
45,GLEN OSBORNE,ALEPPO,0.772497278
46,GLENFIELD,ALEPPO,0.20409222
47,GREEN TREE,ALEPPO,0.095806794
48,HAMPTON,ALEPPO,0.39176604
49,HARMAR,ALEPPO,0.634960115
50,HARRISON,ALEPPO,0.256976558
51,HAYSVILLE,ALEPPO,0.592410538
52,HEIDELBERG,ALEPPO,0.997016453
53,HOMESTEAD,ALEPPO,0.242022942
54,INDIANA,ALEPPO,0.761248633
55,INGRAM,ALEPPO,0.04768592
56,JEFFERSON HILLS,ALEPPO,0.825188267
57,KENNEDY,ALEPPO,0.669107758
58,KILBUCK,ALEPPO,0.163087527
59,LEET,ALEPPO,0.073946989
60,LEETSDALE,ALEPPO,0.432098573
61,LIBERTY,ALEPPO,0.794977361
62,LINCOLN,ALEPPO,0.061464126
63,MARSHALL,ALEPPO,0.569381148
64,MCCANDLESS,ALEPPO,0.238849458
65,MCDONALD,ALEPPO,0.259090795
66,MCKEES ROCKS,ALEPPO,0.659103701
67,MCKEESPORT,ALEPPO,0.84784643
68,MILLVALE,ALEPPO,0.758206549
69,MONROEVILLE,ALEPPO,0.933227281
70,MOON,ALEPPO,0.357498272
71,MOUNT LEBANON,ALEPPO,0.557226761
72,MOUNT OLIVER,ALEPPO,0.937221217
73,MUNHALL,ALEPPO,0.898228649
74,NEVILLE,ALEPPO,0.677635336
75,NORTH BRADDOCK,ALEPPO,0.808203247
76,NORTH FAYETTE,ALEPPO,0.042767723
77,NORTH VERSAILLES,ALEPPO,0.671403442
78,O'HARA,ALEPPO,0.147790417
79,OAKDALE,ALEPPO,0.473195667
80,OAKMONT,ALEPPO,0.852056916
81,OHIO,ALEPPO,0.468018861
82,PENN HILLS,ALEPPO,0.615488365
83,PENNSBURY VILLAGE,ALEPPO,0.44708494
84,PINE,ALEPPO,0.392583666
85,PITCAIRN,ALEPPO,0.705417524
86,PITTSBURGH,ALEPPO,0.902374583
87,PLEASANT HILLS,ALEPPO,0.229971174
88,PLUM,ALEPPO,0.056700488
89,PORT VUE,ALEPPO,0.050224221
90,RANKIN,ALEPPO,0.805266166
91,RESERVE,ALEPPO,0.610159879
92,RICHLAND,ALEPPO,0.485266704
93,ROBINSON,ALEPPO,0.972224716
94,ROSS,ALEPPO,0.408689139
95,ROSSLYN FARMS,ALEPPO,0.035405451
96,SCOTT,ALEPPO,0.680424438
97,SEWICKLEY,ALEPPO,0.212785808
98,SEWICKLEY HEIGHTS,ALEPPO,0.778083758
99,SEWICKLEY HILLS,ALEPPO,0.478576423
100,SHALER,ALEPPO,0.993364241
101,SHARPSBURG,ALEPPO,0.951477586
102,SOUTH FAYETTE,ALEPPO,0.765309714
103,SOUTH PARK,ALEPPO,0.242992475
104,SOUTH VERSAILLES,ALEPPO,0.524135212
105,SPRINGDALE,ALEPPO,0.936029802
106,STOWE,ALEPPO,0.534188036
107,SWISSVALE,ALEPPO,0.480823677
108,TARENTUM,ALEPPO,0.445900043
109,THORNBURG,ALEPPO,0.962619926
110,TRAFFORD,ALEPPO,0.975911848
111,TURTLE CREEK,ALEPPO,0.425721264
112,UPPER ST. CLAIR,ALEPPO,0.209289894
113,VERONA,ALEPPO,0.252745397
114,VERSAILLES,ALEPPO,0.177143946
115,WALL,ALEPPO,0.550701369
116,WEST DEER,ALEPPO,0.645766416
117,WEST ELIZABETH,ALEPPO,0.454826005
118,WEST HOMESTEAD,ALEPPO,0.379699734
119,WEST MIFFLIN,ALEPPO,0.587957387
120,WEST VIEW,ALEPPO,0.986272117
121,WHITAKER,ALEPPO,0.580431471
122,WHITE OAK,ALEPPO,0.76057774
123,WHITEHALL,ALEPPO,0.22391732
124,WILKINS,ALEPPO,0.810953389
125,WILKINSBURG,ALEPPO,0.185909408
126,WILMERDING,ALEPPO,0.916050344
127,ALEPPO,ASPINWALL,0.116114884
128,ASPINWALL,ASPINWALL,0.6151825
129,AVALON,ASPINWALL,0.693303319
130,BALDWIN,ASPINWALL,0.236802822
131,BELL ACRES,ASPINWALL,0.280982388
132,BELLEVUE,ASPINWALL,0.64658826
133,BEN AVON,ASPINWALL,0.774140505
134,BEN AVON HEIGHTS,ASPINWALL,0.503540267
135,BETHEL PARK,ASPINWALL,0.875256244
136,BLAWNOX,ASPINWALL,0.295862412
137,BRACKENRIDGE,ASPINWALL,0.531653118
138,BRADDOCK,ASPINWALL,0.928201481
139,BRADDOCK HILLS,ASPINWALL,0.290727695
140,BRADFORD WOODS,ASPINWALL,0.66218011
141,BRENTWOOD,ASPINWALL,0.64694536
142,BRIDGEVILLE,ASPINWALL,0.693850977
143,CARNEGIE,ASPINWALL,0.225843317
144,CASTLE SHANNON,ASPINWALL,0.995265696
145,CHALFANT,ASPINWALL,0.815913839
146,CHESWICK,ASPINWALL,0.451178067
147,CHURCHILL,ASPINWALL,0.955300932
148,CLAIRTON,ASPINWALL,0.334815465
149,COLLIER,ASPINWALL,0.111465305
150,CORAOPOLIS,ASPINWALL,0.84809469
151,CRAFTON,ASPINWALL,0.655890312
152,CRESCENT,ASPINWALL,0.120091859
153,DORMONT,ASPINWALL,0.97854785
154,DRAVOSBURG,ASPINWALL,0.627143459
155,DUQUESNE,ASPINWALL,0.598857096
156,EAST DEER,ASPINWALL,0.365378388
157,EAST MCKEESPORT,ASPINWALL,0.85662963
158,EAST PITTSBURGH,ASPINWALL,0.587790514
159,EDGEWOOD,ASPINWALL,0.265163105
160,EDGEWORTH,ASPINWALL,0.531519428
161,ELIZABETH,ASPINWALL,0.05625353
162,EMSWORTH,ASPINWALL,0.126039731
163,ETNA,ASPINWALL,0.272880728
164,FAWN,ASPINWALL,0.135587339
165,FINDLAY,ASPINWALL,0.362770128
166,FOREST HILLS,ASPINWALL,0.842234602
167,FORWARD,ASPINWALL,0.424636697
