common_name,Unit,count(*),avg(floating_catchment_output.accessibility_score)
Fire Station #1,E01,7599,0.000210637328756337
Fire Station #1,T01,3115,0.000224603721093546
Fire Station #10,E10,2371,0.000327691497976396
Fire Station #10,T10,1325,0.000344860585913906
Fire Station #11,E11,2480,0.000434381989358036
Fire Station #11,T11,1211,0.000535132446201783
Fire Station #12,E12,1598,0.000420528462271344
Fire Station #12,T12,1151,0.000541391117337997
Fire Station #13,E13,3777,0.000261478983348042
Fire Station #13,T13,1776,0.000262707090748487
Fire Station #14,E14,1659,0.00051207801420161
Fire Station #14,T14,971,0.000575887125845007
Fire Station #15,E15,2175,0.000348860492864583
Fire Station #15,T15,1157,0.000435861899193323
Fire Station #16,E16,2073,0.000180140092534417
Fire Station #16,T16,1448,0.000206500413327913
Fire Station #17,E17,2972,0.000439353382205693
Fire Station #17,T17,1251,0.000402710439910417
Fire Station #18,E18,1865,0.000501790941976909
Fire Station #18,T18,897,0.000609496161647456
Fire Station #19,E19,1970,0.000413982307830649
Fire Station #19,T19,1199,0.000465057875962577
Fire Station #2,E02,3032,0.00021520698385714
Fire Station #2,T02,1721,0.000216029845673235
Fire Station #20,E20,630,0.000759116949684536
Fire Station #22,E22,1480,0.000700278449864946
Fire Station #23,E23,1400,0.000563541768348268
Fire Station #24,E24,746,0.000572238216798336
Fire Station #25,E25,1295,0.000500427261441853
Fire Station #26,E26,1025,0.000704418231789263
Fire Station #28,E28,2541,0.000202508406082686
Fire Station #29,E29,1899,0.000325399251596456
Fire Station #3,E03,8431,0.000224002311885398
Fire Station #3,T03,4946,0.000225252747052629
Fire Station #31,E31,1951,0.000574581727480438
Fire Station #32,E32,1838,0.000609167334516986
Fire Station #33,E33,1858,0.000486842061529196
Fire Station #34,E34,1296,0.0008078436161483
Fire Station #35 - Fireboat Headquarters,E35,2590,0.0002902774537625
Fire Station #36,E36,6177,0.000210123839910315
Fire Station #37,E37,1284,0.000572809320073851
Fire Station #38,E38,3004,0.000227202679958963
Fire Station #39,E39,1205,0.000738614563602935
Fire Station #4,E04,895,0.000419368216182933
Fire Station #4,T04,584,0.000544355368052365
Fire Station #40,E40,1319,0.00070179669745541
Fire Station #41,E41,3474,0.000236706292049472
Fire Station #42,E42,1792,0.000330886688732896
Fire Station #43,E43,2349,0.000407731071802108
Fire Station #44,E44,1655,0.000424207750997928
Fire Station #48,E48,589,0.0011797899498261
Fire Station #48,T48,151,0.00120573334192015
Fire Station #5 - Division 2 Headquarters,E05,3462,0.000242207444402208
Fire Station #5 - Division 2 Headquarters,T05,1986,0.000229263545671112
Fire Station #6,E06,3978,0.000230592922011277
Fire Station #6,T06,1925,0.000245217972327923
Fire Station #8,E08,3376,0.000250481040332352
Fire Station #8,T08,1270,0.000303405599556362
Fire Station #9,E09,2103,0.000429853835353471
Fire Station #9,T09,1159,0.000437714019143754
