facility_id,common_name,Fire Station,IsFireStation,address,city,zip_code,block_lot,owned_leased,dept_id_for_jurisdiction,jurisdiction,gross_sq_ft,longitude,latitude,supervisor_district,city_tenants,land_id
697,Fire Station #15,15,1,1000 Ocean Ave,San Francisco,94112,3180001,Own,38,Fire Department,12138,-122.4529266,37.72348863,7,,588
2,Hamilton Family Residence,,0,260 Golden Gate Ave,San Francisco,94102,345007,Own,45,Police Department,50000,-122.4149739,37.78201068,6,,332
685,Fire Chief's Residence,,0,870 Bush St,San Francisco,94108,274010,Own,38,Fire Department,4500,-122.4115922,37.78999924,3,,333
3269,Palo Alto/Marview Comm Facility,,0,Palo Alto Ave and Marview Way,San Francisco,94114,2719C023,Own,38,Fire Department,,-122.4497724,37.75666164,7,,52
707,Fire Station #24,24,1,100 Hoffman Ave,San Francisco,94114,2801001,Own,38,Fire Department,7600,-122.441105,37.75312935,8,,340
723,Fire Station #40,40,1,2155 18th Ave,San Francisco,94116,2199003,Own,38,Fire Department,7350,-122.4752694,37.74761094,7,,318
692,Fire Station #10,10,1,655 Presidio Ave,San Francisco,94115,1032001,Own,38,Fire Department,14300,-122.4467233,37.78562526,2,,3
728,Fire Station #48,48,1,800 Avenue I,San Francisco,94130,1939026,Own,38,Fire Department,18000,-122.369211,37.8266683,6,,1041
701,Fire Station #19,19,1,390 Buckingham Way,San Francisco,94132,7296002,Own,38,Fire Department,11500,-122.4789029,37.72781162,7,,306
1551,SFPD Pistol Range,,0,700 John Muir Dr,San Francisco,94132,7283004,Own,45,Police Department,10000,-122.4996778,37.72027733,7,,809
1130,Mission Station,,0,630 Valencia St,San Francisco,94110,3577001,Own,45,Police Department,25000,-122.4219697,37.7626807,8,,556
731,Fire Station #7 - Division 3 Headquarters,7,1,2300 Folsom St,San Francisco,94110,3594059,Own,38,Fire Department,16488,-122.4150418,37.7602554,9,,314
717,Fire Station #36,36,1,109 Oak St,San Francisco,94102,837025,Own,38,Fire Department,16100,-122.4212113,37.77493241,5,,327
446,Central Communications Center (Fire),,0,1003 Turk St,San Francisco,94110,759001,Own,38,Fire Department,,-122.4257413,37.78105362,5,,174
1624,Southern District Station,,0,1251 03rd St,San Francisco,94158,8719007,Own,38,Fire Department,,-122.3890517,37.77245003,6,,755
1640,"Fire Station #49, Arson Task Force, BOE",49,1,1415 Evans Ave,San Francisco,94124,5236017,Own,38,Fire Department,,-122.3855761,37.74087817,10,,494
714,Fire Station #32,32,1,194 Park St,San Francisco,94110,5720059,Own,38,Fire Department,10900,-122.4211661,37.73632275,9,,346
696,Fire Station #14,14,1,551 26th Ave,San Francisco,94121,1518009,Own,38,Fire Department,15900,-122.4860616,37.77899265,1,,323
1231,Park Station,,0,1899 Waller St,San Francisco,94117,1700001,Own,45,Police Department,13700,-122.455226,37.76782399,5,,803
712,Fire Station #3,3,1,1067 Post St,San Francisco,94109,693018,Own,38,Fire Department,8000,-122.419321,37.7866412,6,,328
1190,Northern Station,,0,1125 Fillmore St,San Francisco,94115,755013,Own,45,Police Department,18000,-122.4323904,37.78016114,5,,193
702,Fire Station #2,2,1,1340 Powell St,San Francisco,94133,160015,Own,38,Fire Department,16920,-122.4098792,37.79703411,3,,337
691,Fire Station #1,1,1,935 Folsom St,San Francisco,94105,3753313,Own,38,Fire Department,,-122.4041202,37.77945653,6,,951
3069,McLaren Park Police Stables,,0,100 John F Shelley Dr,San Francisco,94134,6190066,Own,45,Police Department,,-122.4163893,37.72057656,9,,779
706,Fire Station #23,23,1,1348 45th Ave,San Francisco,94122,1799029,Own,38,Fire Department,12000,-122.50471,37.76140573,4,,319
1309,Public Safety Building,,0,1245 03rd St,San Francisco,94158,8719007,Own,45,Police Department,185855,-122.3891831,37.77255391,6,,755
150,AWSS Pipeyard (behind 2245 Jerrold),,0,2245 JERROLD AVE,San Francisco,94124,5286A021,Own,38,Fire Department,6400,-122.4016405,37.74463341,10,,1236
3161,Old Potrero Police Station,,0,2300 03rd St,San Francisco,94110,4108037,Own,45,Police Department,,-122.3887934,37.76016382,10,,799
1208,Fire Station #4,4,1,449 Mission Rock St,San Francisco,94158,8719007,Own,38,Fire Department,,-122.3891388,37.77272155,6,,755
1750,Tenderloin Station,,0,301 Eddy St,San Francisco,94102,338023,Own,45,Police Department,27500,-122.4129067,37.78364565,6,,548
727,Fire Station #44,44,1,1298 Girard St,San Francisco,94134,6194010,Own,38,Fire Department,8450,-122.4004336,37.71662054,10,,348
705,Fire Station #22,22,1,1290 16th Ave,San Francisco,94122,1735064,Own,38,Fire Department,5900,-122.4736871,37.76393037,5,,322
1310,Police Koban,,0,Powell St & Market St,San Francisco,94103,341014,Own,45,Police Department,,-122.4084772,37.78399556,6,,159
1826,Vista Francisco Pump,,0,39 Crestline Dr,San Francisco,94112,2844008,Own,45,Police Department,,-122.4467547,37.75032177,8,,668
3291,Fifth St Homeless Center,,0,695 Bryant St,San Francisco,94107,3777047,Own,45,Police Department,,-122.3998038,37.77772102,6,,373
1308,Police Academy,,0,350 Amber Dr,San Francisco,94124,7521005,Own,45,Police Department,19332,-122.4414828,37.74419599,8,,175
710,Fire Station #28,28,1,1814 Stockton St,San Francisco,94133,77024,Own,38,Fire Department,9350,-122.4093515,37.80254788,3,,338
715,Fire Station #33,33,1,8 Capitol Ave,San Francisco,94112,7147046,Own,38,Fire Department,5900,-122.4585807,37.71085948,11,,349
