Name,Code,Type,Traffic
1 -,1,Data Issue,FALSE
10 -,10,Data Issue,FALSE
"100 Fire, other",100,Fire,FALSE
11 -,11,Data Issue,FALSE
111 Building fire,111,Fire,FALSE
112 Fires in struct. other than in a bldg.,112,Fire,FALSE
"113 Cooking fire, confined to container",113,Fire,FALSE
"114 Chimney or flue fire, confined to chimney or flue",114,Fire,FALSE
"115 Incinerator overload/mal.,fire confined",115,Fire,FALSE
"116 Fuel burner/boiler mal., fire coinfined",116,Fire,FALSE
"117 Commercial Compactor fire, confined to rubbish",117,Fire,FALSE
"118 Trash or rubbish fire, contained",118,Fire,FALSE
"120 Fire in mobile prop. used as a fixed struc., other",120,Fire,FALSE
121 Fire in mob. home used as residence,121,Fire,FALSE
"122 Fire in motor home, camper, recreational vehicle",122,Fire,FALSE
1230 Fire in portable building (Port-A-Potty),1230,Fire,FALSE
"123 Fire in portable building, fixed location",123,Fire,FALSE
"130 Mobile property (vehicle) fire, other",130,Fire,FALSE
131 Passenger vehicle fire,131,Fire,TRUE
132 Road freight or transport vehicle fire,132,Fire,TRUE
133 Rail vehicle fire,133,Fire,FALSE
134 Water vehicle fire,134,Fire,FALSE
135 Aircraft fire,135,Fire,FALSE
136 Self-propelled motor home or recreational vehicle,136,Vehicle,FALSE
137 Camper or recreational vehicle (RV) fire,137,Fire,FALSE
138 Off-road vehicle or heavy equipment fire,138,Fire,FALSE
"140 Natural vegetation fire, other",140,Fire,FALSE
"141 Forest, woods or wildland fire",141,Fire,FALSE
142 Brush or brush-and-grass mixture fire,142,Fire,FALSE
143 Grass fire,143,Fire,FALSE
"150 Outside rubbish fire, other",150,Fire,FALSE
"151 Outside rubbish, trash or waste fire",151,Fire,FALSE
152 Garbage dump or sanitary landfill fire,152,Fire,FALSE
153 Construction or demolition landfill fire,153,Fire,FALSE
154 Dumpster/Outside trash receptacle fire,154,Fire,FALSE
155 Outside compactor/compacted trash fire,155,Fire,FALSE
1600 Tent/Encampment fire,1600,Fire,FALSE
"160 Special outside fire, other",160,Fire,FALSE
161 Outside storage fire,161,Fire,FALSE
162 Outside equipment fire,162,Fire,FALSE
163 Outside gas or vapor combustion explosion,163,Explosion,FALSE
164 Outside mailbox fire,164,Fire,FALSE
"170 Cultivated vegetation, crop fire, other",170,Fire,FALSE
173 Cultivated trees or nursery stock fire,173,Fire,FALSE
"200 Overpressure rupture, explosion, overheat other",200,Explosion,FALSE
"210 Overpressure rupture from steam, other",210,Explosion,FALSE
211 Overpressure rupture of steam pipe or pipeline,211,Explosion,FALSE
212 Overpressure rupture of steam boiler,212,Explosion,FALSE
"213 Steam rupture, pressure/process vessel",213,Explosion,FALSE
"220 Overpressure rupture from air or gas, other",220,Explosion,FALSE
221 Overpressure rupture of air or gas pipe/pipeline,221,Explosion,FALSE
222 Overpressure rupture of boiler from air or gas,222,Explosion,FALSE
223 Air or gas rupture of pressure or process vessel,223,Explosion,FALSE
231 Chem. reaction rupture of process vessel,231,Explosion,FALSE
"240 Explosion (no fire), other",240,Explosion,FALSE
241 Munitions or bomb explosion (no fire),241,Explosion,FALSE
242 Blasting agent explosion (no fire),242,Explosion,FALSE
243 Fireworks explosion (no fire),243,Explosion,FALSE
244 Dust Explosion (no fire),244,Explosion,FALSE
25* -,25*,Data Issue,FALSE
"251 Excess heat, scorth burns with no ign.",251,Other,FALSE
"300 Rescue, EMS call, other",300,Rescue,FALSE
"311 Medical assist, assist EMS crew",311,EMS,FALSE
"320 Emergency medical service incident, other",320,EMS,FALSE
"321 EMS call, excluding vehicle accident with injury",321,EMS,FALSE
322 Motor vehicle accident with injuries,322,Vehicle,TRUE
323 Auto/Ped. Accident (Veh.),323,Vehicle,TRUE
324 Motor vehicle accident with no injuries.,324,Vehicle,TRUE
"331 Lock-in (if lock out , use 511 )",331,Rescue,FALSE
"340 Search, other",340,Rescue,FALSE
341 Search for person on land,341,Rescue,FALSE
342 Search for person in water,342,Rescue,FALSE
343 Search for person underground,343,Rescue,FALSE
"350 Extrication, rescue, other",350,Rescue,FALSE
351 Extrication of victim(s) from building/structure,351,Rescue,FALSE
352 Extrication of victim(s) from vehicle,352,Vehicle,TRUE
353 Removal of victim(s) from stalled elevator,353,Rescue,FALSE
354 Trench/below grade rescue,354,Rescue,FALSE
355 Confined space rescue,355,Rescue,FALSE
356 High angle rescue,356,Rescue,FALSE
357 Extrication of victim(s) from machinery,357,Rescue,FALSE
"360 Water & ice related rescue, other",360,Rescue,FALSE
361 Swimming/recreational water areas rescue,361,Rescue,FALSE
362 Ice rescue,362,Rescue,FALSE
363 Swift water rescue,363,Rescue,FALSE
364 Surf rescue,364,Rescue,FALSE
365 Watercraft rescue,365,Rescue,FALSE
"370 Electrical rescue, other",370,Rescue,FALSE
371 Electrocution or potential electrocution,371,Power,FALSE
372 Trapped by power lines,372,Power,FALSE
381 Rescue or EMS standby,381,Rescue,FALSE
4000 Tent/Encampment hazardous condition,4000,Rescue,FALSE
"400 Hazardous condition, other",400,Rescue,FALSE
"410 Combustible/flammable gas/liquid condition, other",410,HAZMAT,FALSE
411 Gasoline or other flammable liquid spill,411,HAZMAT,FALSE
412 Gas leak (natural gas or LPG),412,HAZMAT,FALSE
413 Oil or other combustible liquid spill,413,HAZMAT,FALSE
"420 Toxic condition, other (haz.)",420,HAZMAT,FALSE
421 Chemical hazard (no spill or leak),421,HAZMAT,FALSE
422 Chemical spill or leak(haz.),422,HAZMAT,FALSE
423 Refrigeration leak,423,HAZMAT,FALSE
424 Carbon monoxide incident,424,HAZMAT,FALSE
"430 Radioactive condition, other",430,HAZMAT,FALSE
"431 Radiation leak, radioactive material",431,HAZMAT,FALSE
"440 Elec. wiring/equip. problem, other",440,Power,FALSE
"441 Heat from short circuit (wiring), defective/worn",441,Power,FALSE
442 Overheated motor,442,Other,FALSE
443 Breakdown of light ballast,443,Power,FALSE
444 Power line down,444,Power,FALSE
"445 Arcing, shorted electrical equipment",445,Power,FALSE
"451 Biological hazard, confirmed or suspected",451,HAZMAT,FALSE
"460 Accident, potential accident, other",460,Other,FALSE
461 Bldg/structure weakened or collapsed,461,Structural,FALSE
462 Aircraft standby,462,Aviation,FALSE
"463 Vehicle accident, general cleanup",463,Vehicle,TRUE
"471 Explosive, bomb removal (for bomb scare, use 721)",471,Explosion,FALSE
"480 Attempted burning, illegal action, other",480,Fire,FALSE
481 Attempt to burn,481,Fire,FALSE
482 Threat to burn,482,Other,FALSE
"500 Service Call, other",500,Other,FALSE
"510 Person in distress, other",510,Rescue,FALSE
511 Lock-out,511,Rescue,FALSE
512 Ring or jewelry removal,512,Rescue,FALSE
"520 Water problem, other",520,Other,FALSE
521 Water evacuation,521,Other,FALSE
522 Water or steam leak,522,Other,FALSE
531 Smoke or odor removal,531,Other,FALSE
"540 Animal problem, other",540,Other,FALSE
541 Animal problem,541,Other,FALSE
542 Animal rescue,542,Rescue,FALSE
"550 Public service assistance, other",550,Other,FALSE
551 Assist PD or other Govern. Agency,551,Other,FALSE
552 Police matter,552,Other,FALSE
553 Public service,553,Other,FALSE
554 Assist invalid,554,False Alarm,FALSE
"555 Defective elevator, no occupants",555,Other,FALSE
561 Unauthorized burning,561,Fire,FALSE
"571 Cover assignment, standby, moveup",571,Other,FALSE
"600 Good intent call, other",600,Other,FALSE
611 Dispatched & canceled en route,611,False Alarm,FALSE
621 Wrong location,621,False Alarm,FALSE
622 No incident found on arrival/disp. addr.,622,False Alarm,FALSE
631 Authorized controlled burning,631,Fire,FALSE
632 Prescribed fire,632,Fire,FALSE
641 Vicinity alarm (incident in other location),641,False Alarm,FALSE
"650 Steam, other gas mistaken for smoke, other",650,False Alarm,FALSE
"651 Smoke scare, odor of smoke",651,False Alarm,FALSE
"652 Steam, vapor, fog or dust thought to be smoke",652,False Alarm,FALSE
"653 Barbecue, tar kettle",653,Other,FALSE
"661 EMS call, party transported by non-fire agency",661,EMS,FALSE
671 HazMat release investigation w/no HazMat,671,HAZMAT,FALSE
"672 Biological hazard investigation, none found",672,HAZMAT,FALSE
"700 False alarm or false call, other",700,False Alarm,FALSE
71 -,71,Data Issue,FALSE
"710 Malicious, mischievous false call, other",710,False Alarm,FALSE
"711 Municipal alarm system, malicious false alarm",711,False Alarm,FALSE
"712 Direct tie to FD, malicious false alarm",712,False Alarm,FALSE
"713 Telephone, malicious false alarm",713,False Alarm,FALSE
"714 Central station, malicious false alarm",714,False Alarm,FALSE
"715 Local alarm sys., Malicious False alarm",715,False Alarm,FALSE
721 Bomb scare no bomb,721,False Alarm,FALSE
"730 System malfunction, other",730,False Alarm,FALSE
731 Sprinkler activation due to malfunction,731,False Alarm,FALSE
732 Exting. sys. activation/ malfunction,732,False Alarm,FALSE
733 Smoke detector activation due to malfunction,733,False Alarm,FALSE
734 Heat detector activation/malfunction,734,False Alarm,FALSE
735 Alarm system sounded due to malfunction,735,False Alarm,FALSE
736 CO detector activation/malfunction,736,False Alarm,FALSE
"740 Unintentional alarm, other",740,False Alarm,FALSE
"741 Sprinkler activation, no fire unintentional",741,False Alarm,FALSE
742 Extinguishing system activation,742,False Alarm,FALSE
"743 Smoke detector, no fire, accidental",743,False Alarm,FALSE
"744 Detector activation, no fire accident",744,False Alarm,FALSE
"745 Alarm system activation, no fire unintentional",745,False Alarm,FALSE
"746 Carbon monoxide detector activation, no CO",746,False Alarm,FALSE
75 -,75,Data Issue,FALSE
"751 Biological hazard, malicious false report",751,False Alarm,FALSE
"800 Severe weather/Nat. disaster, other",800,Nature,FALSE
811 Earthquake assessment,811,Nature,FALSE
812 Flood assessment,812,Nature,FALSE
"813 Wind storm, tornado/hurricane assessment",813,Nature,FALSE
814 Lightning strike (no fire),814,Nature,FALSE
815 Severe weather/Nat. Disaster standby,815,Nature,FALSE
"900 Special type of incident, other",900,Other,FALSE
911 Citizen complaint,911,Other,FALSE
CR -,CR,Data Issue,FALSE
N/A -,N/A,Data Issue,FALSE
Y -,Y,Data Issue,FALSE
