,0
0,47
1,40
2,2943
3,2
4,7285
5,596
6,18435
7,262
8,26
9,70
10,45
11,10176
12,29
13,10
14,64
15,73
16,1041
17,4151
18,139
19,17
20,37
21,7
22,60
23,33
24,472
25,87
26,805
27,1237
28,6079
29,10167
30,30
31,2749
32,52
33,778
34,444
35,88
36,276
37,25
38,95
39,18
40,50
41,316
42,195
43,77
44,39
45,24
46,83
47,238
48,15
49,58
50,198
51,20
52,8
53,223
54,1
55,629
56,6482
57,18256
58,3198
59,2229
60,19928
61,11117
62,8606
63,2621
64,205
65,415
66,4
67,696
68,149
69,634
70,9020
71,53
72,269
73,100
74,197
75,142
76,5
77,54
78,534
79,91
80,400
81,4065
82,423
83,2872
84,4571
85,175
86,224
87,410
88,41
89,901
90,5335
91,477
92,1139
93,277
94,4652
95,2240
96,202
97,827
98,201
99,751
100,1260
101,67
102,148
103,104
104,27
105,19986
106,3284
107,4897
108,257
109,7536
110,440
111,7913
112,4667
113,99
114,398
115,5591
116,7642
117,1269
118,1976
119,13758
120,707
121,406
122,8192
123,5041
124,462
125,4894
126,92
127,309
128,1210
129,10320
130,1236
131,1029
132,510
133,519
134,118
135,50772
136,5500
137,67185
138,2905
139,353
140,2313
141,2339
142,156
143,8614
144,384
145,213
146,14835
147,464
148,26023
149,14642
150,1613
151,157
152,16900
153,5368
154,31652
155,1563
156,126
157,140
158,72
159,11
160,3567
161,2659
162,3
163,6
