CNN,STREET,ST_TYPE,NHOOD,CNNTEXT,shape
175000.0,03RD,ST,Financial District South,175000,"LINESTRING (-122.39583 37.781315, -122.39551 37.781055)"
174000.0,03RD,ST,Financial District South,174000,"LINESTRING (-122.39637 37.781746, -122.39583 37.781315)"
173000.0,03RD,ST,Financial District South,173000,"LINESTRING (-122.39683 37.782116, -122.39637 37.781746)"
172000.0,03RD,ST,Financial District South,172000,"LINESTRING (-122.39737 37.782547, -122.39683 37.782116)"
176000.0,03RD,ST,Financial District South,176000,"LINESTRING (-122.39551 37.781055, -122.39505 37.780697)"
177000.0,03RD,ST,Financial District South,177000,"LINESTRING (-122.39505 37.780697, -122.394615 37.78035)"
167000.0,03RD,ST,Financial District South,167000,"LINESTRING (-122.401474 37.785824, -122.40045 37.785027)"
171000.0,03RD,ST,Financial District South,171000,"LINESTRING (-122.39793 37.782993, -122.39737 37.782547)"
166000.0,03RD,ST,Financial District South,166000,"LINESTRING (-122.402016 37.786243, -122.401474 37.785824)"
170000.0,03RD,ST,Financial District South,170000,"LINESTRING (-122.39892 37.78378, -122.39793 37.782993)"
169000.0,03RD,ST,Financial District South,169000,"LINESTRING (-122.399445 37.78421, -122.39892 37.78378)"
168000.0,03RD,ST,Financial District South,168000,"LINESTRING (-122.40045 37.785027, -122.399445 37.78421)"
165000.0,03RD,ST,Financial District South,165000,"LINESTRING (-122.402565 37.786674, -122.402016 37.786243)"
164000.0,03RD,ST,Financial District South,164000,"LINESTRING (-122.403015 37.787018, -122.402565 37.786674)"
163000.0,03RD,ST,Financial District South,163000,"LINESTRING (-122.40342 37.787636, -122.40333 37.78727, -122.403015 37.787018)"
178000.0,03RD,ST,Financial District South,178000,"LINESTRING (-122.394615 37.78035, -122.39429 37.780087)"
262000.0,04TH,ST,Financial District South,262000,"LINESTRING (-122.39805 37.77956, -122.39752 37.77913)"
259000.0,04TH,ST,Financial District South,259000,"LINESTRING (-122.399605 37.78079, -122.39906 37.780357)"
250000.0,04TH,ST,Financial District South,250000,"LINESTRING (-122.40522 37.78526, -122.404785 37.784904)"
253000.0,04TH,ST,Financial District South,253000,"LINESTRING (-122.4037 37.78404, -122.402695 37.783253)"
261000.0,04TH,ST,Financial District South,261000,"LINESTRING (-122.39859 37.779976, -122.39805 37.77956)"
263000.0,04TH,ST,Financial District South,263000,"LINESTRING (-122.39752 37.77913, -122.39705 37.778748)"
264000.0,04TH,ST,Financial District South,264000,"LINESTRING (-122.39705 37.778748, -122.396515 37.77832)"
252000.0,04TH,ST,Financial District South,252000,"LINESTRING (-122.40425 37.784473, -122.4037 37.78404)"
254000.0,04TH,ST,Financial District South,254000,"LINESTRING (-122.402695 37.783253, -122.40168 37.782448)"
260000.0,04TH,ST,Financial District South,260000,"LINESTRING (-122.39906 37.780357, -122.39859 37.779976)"
255000.0,04TH,ST,Financial District South,255000,"LINESTRING (-122.40168 37.782448, -122.401146 37.78202)"
257000.0,04TH,ST,Financial District South,257000,"LINESTRING (-122.4006 37.78158, -122.40014 37.78121)"
249000.0,04TH,ST,Financial District South,249000,"LINESTRING (-122.405815 37.78574, -122.40522 37.78526)"
