CNN,STREET,ST_TYPE,FROM_ST,TO_ST,SPEEDLIMIT,SCHOOLZONE,SCHOOLZONE_LIMIT,MTAB_DATE,MTAB_MOTION,MTAB_RESO_TEXT,STATUS,WORKORDER,shape
0,,,,,15,YES,,,,,,,"MULTILINESTRING ((-122.412186 37.75583, -122.41203 37.754227))"
110000,01ST,ST,CLEMENTINA ST,FOLSOM ST,25,,,,,,,,"MULTILINESTRING ((-122.395 37.787712, -122.39447 37.787292))"
112000,01ST,ST,GUY PL,LANSING ST,25,,,,,,,,"MULTILINESTRING ((-122.393906 37.786846, -122.39343 37.78647))"
109000,01ST,ST,TENNY PL,CLEMENTINA ST,25,,,,,,,,"MULTILINESTRING ((-122.39541 37.78804, -122.395 37.787712))"
107000,01ST,ST,HOWARD ST,TEHAMA ST,25,,,,,,,,"MULTILINESTRING ((-122.39602 37.788532, -122.39546 37.788086))"
113000,01ST,ST,LANSING ST,HARRISON ST,25,,,,,,,,"MULTILINESTRING ((-122.39343 37.78647, -122.39292 37.786064))"
102000,01ST,ST,JESSIE ST,ELIM ST,25,,,,,,,,"MULTILINESTRING ((-122.39815 37.790222, -122.39793 37.790047))"
105000,01ST,ST,MINNA ST,NATOMA ST,25,,,,,,,,"MULTILINESTRING ((-122.39702 37.78933, -122.39656 37.78896))"
101000,01ST,ST,STEVENSON ST,JESSIE ST,25,,,,,,,,"MULTILINESTRING ((-122.398575 37.790565, -122.39815 37.790222))"
104000,01ST,ST,MISSION ST,MINNA ST,25,,,,,,,,"MULTILINESTRING ((-122.39756 37.789757, -122.39702 37.78933))"
100000,01ST,ST,MARKET ST,STEVENSON ST,25,,,,,,,,"MULTILINESTRING ((-122.39913 37.79101, -122.398575 37.790565))"
103000,01ST,ST,ELIM ST,MISSION ST,25,,,,,,,,"MULTILINESTRING ((-122.39793 37.790047, -122.39756 37.789757))"
106000,01ST,ST,NATOMA ST,HOWARD ST,25,,,,,,,,"MULTILINESTRING ((-122.39656 37.78896, -122.39602 37.788532))"
108000,01ST,ST,TEHAMA ST,TENNY PL,25,,,,,,,,"MULTILINESTRING ((-122.39546 37.788086, -122.39541 37.78804))"
111000,01ST,ST,FOLSOM ST,GUY PL,25,,,,,,,,"MULTILINESTRING ((-122.39447 37.787292, -122.393906 37.786846))"
125000,02ND,AVE,BALBOA ST,CABRILLO ST,0,,,,,,,,"MULTILINESTRING ((-122.45971 37.777424, -122.45957 37.775562))"
121000,02ND,AVE,CORNWALL ST,CLEMENT ST,0,,,,,,,,"MULTILINESTRING ((-122.46026 37.785, -122.46012 37.78313))"
126000,02ND,AVE,CABRILLO ST,FULTON ST,0,,,,,,,,"MULTILINESTRING ((-122.45957 37.775562, -122.45947 37.774162))"
149000,02ND,ST,KING ST,BERRY ST,0,,,,,,,,"MULTILINESTRING ((-122.38958 37.779858, -122.388855 37.77929))"
147000,02ND,ST,BRANNAN ST,TOWNSEND ST,0,,,,,,,,"MULTILINESTRING ((-122.39207 37.78184, -122.39051 37.7806))"
148000,02ND,ST,TOWNSEND ST,KING ST,0,,,,,,,,"MULTILINESTRING ((-122.39051 37.7806, -122.38958 37.779858))"
143000,02ND,ST,TABER PL,FEDERAL ST,0,,,,,,,,"MULTILINESTRING ((-122.39329 37.782818, -122.39307 37.782646))"
146000,02ND,ST,DE BOOM ST,BRANNAN ST,0,,,,,,,,"MULTILINESTRING ((-122.3926 37.78227, -122.39207 37.78184))"
142000,02ND,ST,BRYANT ST,TABER PL,0,,,,,,,,"MULTILINESTRING ((-122.39361 37.783073, -122.39329 37.782818))"
133000,02ND,ST,MINNA ST,NATOMA ST,0,,,,,,,,"MULTILINESTRING ((-122.39924 37.787575, -122.39877 37.787197))"
136000,02ND,ST,TEHAMA ST,CLEMENTINA ST,0,,,,,,,,"MULTILINESTRING ((-122.39769 37.786335, -122.397224 37.785957))"
124000,02ND,AVE,ANZA ST,BALBOA ST,0,,,,,,,,"MULTILINESTRING ((-122.45985 37.779278, -122.45971 37.777424))"
144000,02ND,ST,FEDERAL ST,SOUTH PARK,0,,,,,,,,"MULTILINESTRING ((-122.39307 37.782646, -122.39283 37.78245))"
135000,02ND,ST,HOWARD ST,TEHAMA ST,0,,,,,,,,"MULTILINESTRING ((-122.39825 37.786774, -122.39769 37.786335))"
119000,02ND,AVE,LAKE ST,CALIFORNIA ST,0,,,,,,,,"MULTILINESTRING ((-122.46039 37.78686, -122.4603 37.785534))"
128000,02ND,AVE,HUGO ST,IRVING ST,0,,,,,,,,"MULTILINESTRING ((-122.45887 37.7653, -122.4588 37.764362))"
138000,02ND,ST,FOLSOM ST,DOW PL,0,,,,,,,,"MULTILINESTRING ((-122.39669 37.785538, -122.39588 37.784893))"
129000,02ND,ST,MARKET ST,STEVENSON ST,0,,,,,,,,"MULTILINESTRING ((-122.40136 37.78926, -122.4008 37.78881))"
123000,02ND,AVE,GEARY BLVD,ANZA ST,0,,,,,,,,"MULTILINESTRING ((-122.459984 37.781208, -122.45985 37.779278))"
122000,02ND,AVE,CLEMENT ST,GEARY BLVD,0,,,,,,,,"MULTILINESTRING ((-122.46012 37.78313, -122.459984 37.781208))"
131000,02ND,ST,JESSIE ST,MISSION ST,0,,,,,,,,"MULTILINESTRING ((-122.40033 37.788437, -122.39979 37.788002))"
127000,02ND,AVE,LINCOLN WAY,HUGO ST,0,,,,,,,,"MULTILINESTRING ((-122.45893 37.76625, -122.45887 37.7653))"
118000,02ND,AVE,START: 1-99 BLOCK,LAKE ST,0,,,,,,,,"MULTILINESTRING ((-122.46042 37.787243, -122.46039 37.78686))"
120000,02ND,AVE,CALIFORNIA ST,CORNWALL ST,0,,,,,,,,"MULTILINESTRING ((-122.4603 37.785534, -122.46026 37.785))"
134000,02ND,ST,NATOMA ST,HOWARD ST,0,,,,,,,,"MULTILINESTRING ((-122.39877 37.787197, -122.39825 37.786774))"
140000,02ND,ST,HARRISON ST,STILLMAN ST,0,,,,,,,,"MULTILINESTRING ((-122.39515 37.784306, -122.394135 37.783497))"
137000,02ND,ST,CLEMENTINA ST,FOLSOM ST,0,,,,,,,,"MULTILINESTRING ((-122.397224 37.785957, -122.39669 37.785538))"
132000,02ND,ST,MISSION ST,MINNA ST,0,,,,,,,,"MULTILINESTRING ((-122.39979 37.788002, -122.39924 37.787575))"
139000,02ND,ST,DOW PL,HARRISON ST,0,,,,,,,,"MULTILINESTRING ((-122.39588 37.784893, -122.39515 37.784306))"
141000,02ND,ST,STILLMAN ST,BRYANT ST,0,,,,,,,,"MULTILINESTRING ((-122.394135 37.783497, -122.39361 37.783073))"
145000,02ND,ST,SOUTH PARK,DE BOOM ST,0,,,,,,,,"MULTILINESTRING ((-122.39283 37.78245, -122.3926 37.78227))"
130000,02ND,ST,STEVENSON ST,JESSIE ST,0,,,,,,,,"MULTILINESTRING ((-122.4008 37.78881, -122.40033 37.788437))"
188101,03RD,ST,18TH ST,19TH ST,30,,,,,,,,"MULTILINESTRING ((-122.38873 37.763042, -122.38866 37.76295, -122.388626 37.761852, -122.38868 37.76176))"
233202,03RD,ST,LE CONTE AVE,KEITH ST,25,,,,,,,,"MULTILINESTRING ((-122.39747 37.71883, -122.39758 37.718792, -122.39823 37.718094, -122.39833 37.71808, -122.398415 37.71812, -122.39864 37.71869, -122.39869 37.718807, -122.39869 37.718903, -122.39868 37.71903))"
233101,03RD,ST,LE CONTE AVE,BAY SHORE BLVD,25,,,,,,,,"MULTILINESTRING ((-122.39747 37.71883, -122.397484 37.718723, -122.397964 37.718174))"
187201,03RD,ST,MARIPOSA ST,18TH ST,30,,,,,,,,"MULTILINESTRING ((-122.38885 37.764317, -122.3889 37.764225, -122.388794 37.763123, -122.38873 37.763042))"
186201,03RD,ST,16TH ST,MARIPOSA ST,30,,,,,,,,"MULTILINESTRING ((-122.38908 37.7669, -122.38912 37.766777, -122.388885 37.7644, -122.388824 37.764317))"
231201,03RD,ST,JAMESTOWN AVE,KEY AVE,25,,,,,,,,"MULTILINESTRING ((-122.39661 37.720226, -122.39672 37.720135, -122.396965 37.719604, -122.39694 37.71947))"
170000,03RD,ST,FOLSOM ST,SAINT FRANCIS PL,25,,,,,,,,"MULTILINESTRING ((-122.39892 37.78378, -122.39793 37.782993))"
221201,03RD,ST,LANE ST,YOSEMITE AVE,25,,,,,,,,"MULTILINESTRING ((-122.39288 37.728485, -122.392975 37.72845, -122.393234 37.72787, -122.39322 37.72773))"
198201,03RD,ST,CARGO WAY,BURKE AVE,30,,,,,,,,"MULTILINESTRING ((-122.38716 37.74615, -122.38721 37.745937, -122.38715 37.745197, -122.387115 37.745064))"
166000,03RD,ST,MISSION ST,MINNA ST,25,,,,,,,,"MULTILINESTRING ((-122.402016 37.786243, -122.401474 37.785824))"
228101,03RD,ST,GILMAN AVE,HOLLISTER AVE,25,,,,,,,,"MULTILINESTRING ((-122.39561 37.722427, -122.3956 37.722294, -122.395836 37.721775, -122.39593 37.72171))"
154000,03RD,AVE,CLEMENT ST,GEARY BLVD,0,,,,,,,,"MULTILINESTRING ((-122.4612 37.78308, -122.46105 37.781155))"
