facility_id,common_name,address,city,zip_code,block_lot,owned_leased,dept_id_for_jurisdiction,jurisdiction,gross_sq_ft,longitude,latitude,supervisor_district,city_tenants,land_id
697,Fire Station #15,1000 Ocean Ave,San Francisco,94112,3180001,Own,38,Fire Department,12138,-122.45292662899999,37.72348863100001,7,,588
2,Hamilton Family Residence,260 Golden Gate Ave,San Francisco,94102,0345007,Own,45,Police Department,50000,-122.41497389900002,37.782010680999974,6,,332
685,Fire Chief's Residence,870 Bush St,San Francisco,94108,0274010,Own,38,Fire Department,4500,-122.41159217900002,37.789999240999975,3,,333
3269,Palo Alto/Marview Comm Facility,Palo Alto Ave and Marview Way,San Francisco,94114,2719C023,Own,38,Fire Department,,-122.44977236300002,37.756661638000026,7,,52
707,Fire Station #24,100 Hoffman Ave,San Francisco,94114,2801001,Own,38,Fire Department,7600,-122.44110498100002,37.753129349000005,8,,340
723,Fire Station #40,2155 18th Ave,San Francisco,94116,2199003,Own,38,Fire Department,7350,-122.47526939800002,37.74761093799998,7,,318
692,Fire Station #10,655 Presidio Ave,San Francisco,94115,1032001,Own,38,Fire Department,14300,-122.44672328899998,37.78562525799998,2,,3
728,Fire Station #48,800 Avenue I,San Francisco,94130,1939026,Own,38,Fire Department,18000,-122.36921098200003,37.826668300999984,6,,1041
701,Fire Station #19,390 Buckingham Way,San Francisco,94132,7296002,Own,38,Fire Department,11500,-122.478902898,37.72781161500001,7,,306
1551,SFPD Pistol Range,700 John Muir Dr,San Francisco,94132,7283004,Own,45,Police Department,10000,-122.49967781599997,37.72027732700002,7,,809
1130,Mission Station,630 Valencia St,San Francisco,94110,3577001,Own,45,Police Department,25000,-122.421969665,37.762680703,8,,556
731,Fire Station #7 - Division 3 Headquarters,2300 Folsom St,San Francisco,94110,3594059,Own,38,Fire Department,16488,-122.41504182,37.76025539699998,9,,314
717,Fire Station #36,109 Oak St,San Francisco,94102,0837025,Own,38,Fire Department,16100,-122.42121128000002,37.774932406000005,5,,327
446,Central Communications Center (Fire),1003 Turk St,San Francisco,94110,0759001,Own,38,Fire Department,,-122.42574133,37.78105361799999,5,,174
1624,Southern District Station,1251 03rd St,San Francisco,94158,8719007,Own,38,Fire Department,,-122.38905168000002,37.77245002500001,6,,755
1640,"Fire Station #49, Arson Task Force, BOE",1415 Evans Ave,San Francisco,94124,5236017,Own,38,Fire Department,,-122.38557613400002,37.74087817399999,10,,494
714,Fire Station #32,194 Park St,San Francisco,94110,5720059,Own,38,Fire Department,10900,-122.42116607000003,37.73632275099999,9,,346
696,Fire Station #14,551 26th Ave,San Francisco,94121,1518009,Own,38,Fire Department,15900,-122.48606162099998,37.778992648999974,1,,323
1231,Park Station,1899 Waller St,San Francisco,94117,1700001,Own,45,Police Department,13700,-122.45522601300001,37.76782399000001,5,,803
