the_geom,OBJECTID,CNN,STREETNAME,CNNTEXT,LAYER
"LINESTRING (-122.42435866753517 37.80041502769241, -122.42427498455021 37.80052127394361, -122.42441762509418 37.801226866006786, -122.42453832491569 37.80130371985579)",10080,13169201,VAN NESS AVE,13169201,STREETS
"LINESTRING (-122.42435866753517 37.80041502769241, -122.42448003794819 37.80049520813823, -122.42462267317951 37.801200762167205, -122.42453832491569 37.80130371985579)",10079,13169101,VAN NESS AVE,13169101,STREETS
"LINESTRING (-122.42417056401293 37.799484532676416, -122.42408688181453 37.79959077908701, -122.42423796934412 37.80033817364689, -122.42435866753517 37.80041502769241)",10089,13168201,VAN NESS AVE,13168201,STREETS
"LINESTRING (-122.42417056401293 37.799484532676416, -122.42429193304802 37.79956471332396, -122.42444301504575 37.800312070389936, -122.42435866753517 37.80041502769241)",10090,13168101,VAN NESS AVE,13168101,STREETS
"LINESTRING (-122.42398214515025 37.798552453611286, -122.4238984633866 37.79865869991212, -122.42404919559307 37.79940435217172, -122.42417056401293 37.799484532676416)",10087,13167201,VAN NESS AVE,13167201,STREETS
"LINESTRING (-122.42398214515025 37.798552453611286, -122.42410351210539 37.798632634197595, -122.42425424632502 37.79937828647329, -122.42417056401293 37.799484532676416)",10088,13167101,VAN NESS AVE,13167101,STREETS
"LINESTRING (-122.42379296463933 37.79761658157163, -122.42370927416695 37.7977227820381, -122.42386077811119 37.79847227290452, -122.42398214515025 37.798552453611286)",8686,13166201,VAN NESS AVE,13166201,STREETS
"LINESTRING (-122.42379296463933 37.79761658157163, -122.42391433901456 37.797696808365174, -122.42406582632842 37.79844620725461, -122.42398214515025 37.798552453611286)",10086,13166101,VAN NESS AVE,13166101,STREETS
"LINESTRING (-122.42360129701231 37.796691058585935, -122.42352129195693 37.796792809821916, -122.42367159018745 37.79753635493224, -122.42379296463933 37.79761658157163)",10091,13165201,VAN NESS AVE,13165201,STREETS
"LINESTRING (-122.42360129701231 37.796691058585935, -122.42372627774535 37.796766460295196, -122.4238766541803 37.797510381055, -122.42379296463933 37.79761658157163)",10092,13165101,VAN NESS AVE,13165101,STREETS
"LINESTRING (-122.4234130556005 37.79573710898322, -122.42333272808689 37.79585993855958, -122.42348360856815 37.79660638235511, -122.42360129701231 37.796691058585935)",10085,13164201,VAN NESS AVE,13164201,STREETS
"LINESTRING (-122.4234130556005 37.79573710898322, -122.42353860189421 37.79583799295632, -122.42368859386245 37.79658003316756, -122.42360129701231 37.796691058585935)",6641,13164101,VAN NESS AVE,13164101,STREETS
"LINESTRING (-122.4232271471945 37.794817355109465, -122.42314348080784 37.79492365953173, -122.42328750895588 37.79563622488586, -122.4234130556005 37.79573710898322)",6642,13163201,VAN NESS AVE,13163201,STREETS
"LINESTRING (-122.4232271471945 37.794817355109465, -122.42334849532068 37.79489747766356, -122.4234933821706 37.79561427990978, -122.4234130556005 37.79573710898322)",10084,13163101,VAN NESS AVE,13163101,STREETS
"LINESTRING (-122.42304880361489 37.79393500520759, -122.42296513721098 37.794041307060624, -122.42310579932307 37.79473723215475, -122.4232271471945 37.794817355109465)",10083,13162201,VAN NESS AVE,13162201,STREETS
"LINESTRING (-122.42304880361489 37.79393500520759, -122.42317017665333 37.79401525745395, -122.42331081298853 37.794711050356845, -122.4232271471945 37.794817355109465)",10082,13162101,VAN NESS AVE,13162101,STREETS
"LINESTRING (-122.42287120213743 37.79305000308131, -122.42278745648943 37.79315621026277, -122.42292759565832 37.79385486167178, -122.42304880361489 37.79393500520759)",6643,13161201,VAN NESS AVE,13161201,STREETS
"LINESTRING (-122.42287120213743 37.79305000308131, -122.42299250871103 37.79313023845108, -122.42313263460616 37.79382881240408, -122.42304880361489 37.79393500520759)",10081,13161101,VAN NESS AVE,13161101,STREETS
"LINESTRING (-122.42269416372427 37.79217464489542, -122.4226105079722 37.79228088649886, -122.42274989582592 37.792969767585575, -122.42287120213743 37.79305000308131)",10113,13160201,VAN NESS AVE,13160201,STREETS
"LINESTRING (-122.42269416372427 37.79217464489542, -122.42281553994377 37.79225482545855, -122.42295494755298 37.792943796112894, -122.42287120213743 37.79305000308131)",6593,13160101,VAN NESS AVE,13160101,STREETS
"LINESTRING (-122.42251494375 37.791288891101495, -122.42243126806032 37.79139502909894, -122.4225727877669 37.79209446420619, -122.42269416372427 37.79217464489542)",6594,13159201,VAN NESS AVE,13159201,STREETS
"LINESTRING (-122.42251494375 37.791288891101495, -122.42263633936778 37.79136917590156, -122.42277781924413 37.792068403505134, -122.42269416372427 37.79217464489542)",10112,13159101,VAN NESS AVE,13159101,STREETS
"LINESTRING (-122.42232895487413 37.790369659475495, -122.4222497580387 37.79049792982459, -122.42239354875485 37.7912086067188, -122.42251494375 37.791288891101495)",10111,13158201,VAN NESS AVE,13158201,STREETS
"LINESTRING (-122.42232895487413 37.790369659475495, -122.42245478604875 37.79047187488324, -122.4225986195536 37.791182753311546, -122.42251494375 37.791288891101495)",10110,13158101,VAN NESS AVE,13158101,STREETS
"LINESTRING (-122.42213520849442 37.789412061484605, -122.42205155147865 37.789518284948414, -122.42220312439186 37.79026744392595, -122.42232895487413 37.790369659475495)",10109,13157201,VAN NESS AVE,13157201,STREETS
"LINESTRING (-122.42213520849442 37.789412061484605, -122.4222565831715 37.78949226046004, -122.42240815212087 37.79024138878436, -122.42232895487413 37.790369659475495)",10114,13157101,VAN NESS AVE,13157101,STREETS
"LINESTRING (-122.42194037438892 37.78896877417657, -122.42201383442548 37.789331862377466, -122.42213520849442 37.789412061484605)",10104,13156202,VAN NESS AVE,13156202,STREETS
"LINESTRING (-122.421948584787 37.78848964286713, -122.4218649412493 37.78859592918818, -122.42194037438892 37.78896877417657)",10101,13156201,VAN NESS AVE,13156201,STREETS
"LINESTRING (-122.4221453791983 37.78894262420986, -122.42221886527088 37.78930583795943, -122.42213520849442 37.789412061484605)",10106,13156102,VAN NESS AVE,13156102,STREETS
"LINESTRING (-122.421948584787 37.78848964286713, -122.42206994470298 37.788569779081904, -122.4221453791983 37.78894262420986)",10102,13156101,VAN NESS AVE,13156101,STREETS
